22372,-0.95,0.00,0.01
42392,-0.95,0.00,0.03
62392,-0.95,0.00,0.04
82396,-0.95,0.00,0.05
102416,-0.95,0.00,0.07
122440,-0.94,0.00,0.08
142460,-0.95,0.00,0.10
162468,-0.95,0.00,0.11
182488,-0.95,0.00,0.12
202496,-0.94,0.00,0.14
222532,-0.94,0.00,0.15
242528,-0.95,0.00,0.17
262536,-0.95,0.00,0.18
282556,-0.95,0.00,0.19
305148,-0.95,0.00,0.21
330092,-0.95,0.00,0.23
355084,-0.95,-0.00,0.24
381092,-0.95,-0.00,0.26
407056,-0.95,0.00,0.28
432008,-0.95,0.00,0.29
457004,-0.95,0.00,0.31
481924,-0.95,0.00,0.33
506912,-0.94,0.00,0.35
531860,-0.95,0.00,0.36
556812,-0.95,0.00,0.38
581780,-0.95,0.00,0.40
606744,-0.95,0.00,0.41
631692,-0.95,0.00,0.42
656680,-0.95,0.00,0.44
681604,-0.95,0.00,0.46
706608,-0.95,-0.00,0.48
732592,-0.95,-0.00,0.50
758564,-0.95,0.00,0.51
783540,-0.95,0.00,0.53
808504,-0.95,-0.00,0.54
834496,-0.95,-0.00,0.56
860500,-0.95,0.00,0.58
885452,-0.95,0.00,0.60
910420,-0.95,0.00,0.62
935384,-0.95,0.00,0.63
960336,-0.94,0.00,0.65
985296,-0.94,0.00,0.67
1010268,-0.95,0.00,0.69
1036248,-0.95,0.00,0.70
1062260,-0.95,0.00,0.72
1088260,-0.94,0.00,0.74
1114272,-0.94,0.00,0.76
1140268,-0.95,-0.00,0.78
1167292,-0.95,0.00,0.79
1193292,-0.95,0.00,0.81
1219288,-0.95,-0.00,0.83
1246332,-0.94,0.00,0.84
1272340,-0.95,0.00,0.86
1298332,-0.95,0.01,0.88
1324344,-0.95,0.00,0.89
1350320,-0.95,0.00,0.91
1376336,-0.94,0.00,0.93
1402368,-0.95,0.00,0.94
1428364,-0.94,-0.00,0.96
1455392,-0.95,0.00,0.97
1481376,-0.95,0.00,0.99
1507384,-0.95,0.00,1.01
1533388,-0.95,0.00,1.03
1559404,-0.95,-0.00,1.04
1586444,-0.95,0.00,1.06
1612408,-0.95,0.00,1.08
1638424,-0.95,0.00,1.10
1664424,-0.95,0.00,1.12
1690416,-0.95,-0.00,1.13
1717480,-0.95,0.00,1.15
1743444,-0.95,0.00,1.16
1769456,-0.95,0.00,1.18
1795488,-0.95,0.00,1.20
1821448,-0.95,0.00,1.21
1847464,-0.95,0.00,1.23
1873460,-0.95,0.00,1.25
1899464,-0.95,0.00,1.27
1925456,-0.95,0.00,1.29
1951444,-0.95,0.00,1.30
1977476,-0.95,-0.00,1.32
2004508,-0.95,-0.00,1.34
2031540,-0.95,0.00,1.36
2057548,-0.95,0.00,1.38
2083540,-0.94,-0.01,1.38
2110580,-0.94,-0.03,1.34
